"(-6.210380000000002, 106.845386)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,0.2906466541164784,True
"(-6.209167, 106.826667)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,1.3214216158071048,True
"(-6.208821, 106.846046)",49,Jakarta,"(-6.2146, 106.8451)",34540000.0,0.40240155881881734,True
"(-6.2087629999999985, 106.845599)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,0.402559019870831,True
"(-6.205408, 106.84262)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,0.6542537699101673,True
"(-6.202456, 106.652695)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,13.257542467040434,True
"(-6.194019, 106.825309)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,1.9627459627965844,True
"(-6.193758, 106.801614)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,3.315713676553852,True
"(-6.187549, 106.823085)",2,Jakarta,"(-6.2146, 106.8451)",34540000.0,2.397345919011509,True
"(-6.178306, 106.631889)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,14.872959125405966,True
"(-6.172732, 35.7431)",1,Dodoma,"(-6.25, 35.75)",410956.0,5.330688188700401,True
"(-6.170593, 106.757476)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,6.742082600928504,True
"(-6.132423, 106.87443799999998)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,5.996477344874106,True
"(-6.128629, 106.803087)",1,Jakarta,"(-6.2146, 106.8451)",34540000.0,6.576279806545323,True
"(-4.4419309999999985, 15.266293)",1,Kinshasa,"(-4.3317, 15.3139)",13528000.0,8.255228395516486,True
"(-4.4419309999999985, 15.266293)",1,Brazzaville,"(-4.2667, 15.2833)",1827000.0,12.097414988981626,True
"(-4.389166, 15.33762)",16,Kinshasa,"(-4.3317, 15.3139)",13528000.0,4.27409081034715,True
"(-4.389166, 15.33762)",16,Brazzaville,"(-4.2667, 15.2833)",1827000.0,9.21125836246932,True
"(-4.376087, 15.303447)",1,Kinshasa,"(-4.3317, 15.3139)",13528000.0,3.133960683852314,True
"(-4.376087, 15.303447)",1,Brazzaville,"(-4.2667, 15.2833)",1827000.0,7.643539462338083,True
"(-4.350042, 15.253698000000002)",1,Kinshasa,"(-4.3317, 15.3139)",13528000.0,4.339399606531933,True
"(-4.350042, 15.253698000000002)",1,Brazzaville,"(-4.2667, 15.2833)",1827000.0,6.0796880367129,True
"(-4.225356, 15.25106)",13,Kinshasa,"(-4.3317, 15.3139)",13528000.0,8.496017480996594,True
"(-4.225356, 15.25106)",13,Brazzaville,"(-4.2667, 15.2833)",1827000.0,3.607808971563586,True
"(-3.6679, 29.332838)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,19.70675021849766,True
"(-3.616303, 29.442823)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,17.026732072602,True
"(-3.609108, 29.412958000000003)",2,Bujumbura,"(-3.3825, 29.3611)",658859.0,15.976649595326196,True
"(-3.608268, 29.979662)",2,Gitega,"(-3.4264, 29.9306)",41944.0,12.947154324355346,True
"(-3.606430000000001, 30.044290000000004)",1,Gitega,"(-3.4264, 29.9306)",41944.0,14.65013005592724,True
"(-3.599444, 29.71)",1,Gitega,"(-3.4264, 29.9306)",41944.0,19.32201125101177,True
"(-3.575053, 29.519072)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,17.146594487966148,True
"(-3.574836, 29.681785)",1,Gitega,"(-3.4264, 29.9306)",41944.0,19.978304080542127,True
"(-3.573373, 29.681781)",1,Gitega,"(-3.4264, 29.9306)",41944.0,19.927423332998924,True
"(-3.547515, 29.456063)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.097547521307828,True
"(-3.5415339999999995, 29.351487)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,10.947395056915415,True
"(-3.516392, 29.451095)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,11.101655201038731,True
"(-3.516284, 29.465241)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,11.670590522312251,True
"(-3.5116400000000003, 29.472411)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,11.738953724333191,True
"(-3.509014, 29.464359)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,11.242639861634274,True
"(-3.506273, 29.342833)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.597482060032927,True
"(-3.506203, 29.460389000000006)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,10.919840056186956,True
"(-3.505081, 29.343577000000003)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,8.509017928121752,True
"(-3.485661, 29.881049)",1,Gitega,"(-3.4264, 29.9306)",41944.0,5.318367508014147,True
"(-3.481207, 29.55171)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,14.805862700398523,True
"(-3.465419, 29.544269)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,13.871498690152343,True
"(-3.454085, 29.415645)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,6.194949351731608,True
"(-3.4425, 29.616667)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,18.12178284976053,True
"(-3.435, 29.955)",1,Gitega,"(-3.4264, 29.9306)",41944.0,1.785382808324575,True
"(-3.433889, 29.958056)",1,Gitega,"(-3.4264, 29.9306)",41944.0,1.9643658424656727,True
"(-3.428638, 29.925089)",1,Gitega,"(-3.4264, 29.9306)",41944.0,0.41041883955885944,True
"(-3.427512, 29.924253000000004)",4,Gitega,"(-3.4264, 29.9306)",41944.0,0.444857346184618,True
"(-3.417239, 29.409839)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,4.125945317871704,True
"(-3.412863, 29.385849)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,2.6968155892171675,True
"(-3.40945, 29.390343)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,2.7397489689204737,True
"(-3.3925, 29.949444)",1,Gitega,"(-3.4264, 29.9306)",41944.0,2.6680578226898124,True
"(-3.383549, 29.366583)",2,Bujumbura,"(-3.3825, 29.3611)",658859.0,0.38540629702922513,True
"(-3.383289, 29.36636)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,0.36723181113231607,True
"(-3.383117, 29.364451000000006)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,0.23524148174816037,True
"(-3.3819230000000005, 29.753358)",2,Gitega,"(-3.4264, 29.9306)",41944.0,12.61425314365053,True
"(-3.375828, 29.364107)",184,Bujumbura,"(-3.3825, 29.3611)",658859.0,0.5032638654332481,True
"(-3.372898, 29.145108)",2,Bujumbura,"(-3.3825, 29.3611)",658859.0,14.929127808914705,True
"(-3.3728769999999995, 29.144872)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,14.945471953822462,True
"(-3.3698650000000003, 29.358163)",1,Bujumbura,"(-3.3825, 29.3611)",658859.0,0.8915249875264497,True
